tid;co2;temp;rh
0.0;1000.0;25.4;40.0
0.417;1029.0;25.5;41.5
0.834;1044.0;25.5;42.6
1.251;1084.0;25.5;43.5
1.668;1101.0;25.5;44.3
2.085;1122.0;25.5;45.1
2.502;1156.0;25.5;45.7
2.919;1184.0;25.5;46.3
3.336;1210.0;25.4;46.9
3.753;1242.0;25.4;47.4
4.17;1255.0;25.4;47.8
4.587;1282.0;25.4;48.3
5.004;1319.0;25.4;48.7
5.421;1322.0;25.4;49.1
5.838;1357.0;25.3;49.4
6.255;1372.0;25.3;49.7
6.672;1408.0;25.3;50.1
7.089;1420.0;25.2;50.3
7.506;1446.0;25.2;50.6
7.923;1457.0;25.2;50.9
8.34;1488.0;25.1;51.2
8.757;1503.0;25.1;51.5
9.174;1534.0;25.1;51.7
9.591;1549.0;25.1;51.9
10.008;1548.0;25.0;52.2
10.425;1570.0;25.0;52.4
10.842;1602.0;25.0;52.7
11.259;1630.0;25.0;52.8
11.676;1661.0;24.9;53.1
12.093;1669.0;24.9;53.2
12.51;1687.0;24.9;53.3
12.927;1697.0;24.9;53.5
13.344;1732.0;24.9;53.7
13.761;1727.0;24.9;53.8
14.178;1753.0;24.9;54.0
14.595;1798.0;24.8;54.1
15.012;1784.0;24.8;54.3
15.429;1827.0;24.8;54.4
15.846;1824.0;24.8;54.6
16.263;1849.0;24.8;54.7
16.68;1865.0;24.8;54.8
17.097;1890.0;24.8;55.0
17.514;1890.0;24.8;55.1
17.931;1916.0;24.7;55.2
18.348;1929.0;24.7;55.3
18.765;1942.0;24.7;55.4
19.182;1952.0;24.7;55.6
19.599;1960.0;24.7;55.7
20.016;1970.0;24.7;55.7
20.433;1984.0;24.7;55.9
20.85;1983.0;24.7;56.0
21.267;2037.0;24.7;56.1
21.684;2029.0;24.7;56.2
22.101;2029.0;24.7;56.3
22.518;2069.0;24.7;56.4
22.935;2075.0;24.7;56.5
23.352;2096.0;24.7;56.6
23.769;2079.0;24.7;56.7
24.186;2104.0;24.7;56.7
24.603;2116.0;24.7;56.9
25.02;2122.0;24.7;56.9
25.437;2129.0;24.7;57.0
25.854;2145.0;24.7;57.1
26.271;2159.0;24.7;57.2
26.688;2173.0;24.7;57.2
27.105;2182.0;24.7;57.3
27.522;2163.0;24.7;57.3
27.939;2209.0;24.7;57.5
28.356;2214.0;24.7;57.5
28.773;2239.0;24.7;57.6
29.19;2248.0;24.7;57.6
29.607;2252.0;24.7;57.7
30.024;2259.0;24.7;57.8
30.441;2285.0;24.7;57.9
30.858;2265.0;24.7;57.9
31.275;2276.0;24.7;58.0
31.692;2285.0;24.7;58.0
32.109;2318.0;24.7;58.1
32.526;2306.0;24.7;58.2
32.943;2335.0;24.7;58.2
33.36;2366.0;24.7;58.3
33.777;2354.0;24.7;58.3
34.194;2346.0;24.7;58.4
34.611;2391.0;24.7;58.5
35.028;2401.0;24.7;58.6
35.445;2403.0;24.7;58.6
35.862;2382.0;24.7;58.7
36.279;2416.0;24.7;58.8
36.696;2425.0;24.7;58.8
37.113;2416.0;24.7;58.9
37.53;2464.0;24.7;58.9
37.947;2449.0;24.7;59.0
38.364;2447.0;24.6;59.0
38.781;2472.0;24.7;59.1
39.198;2470.0;24.7;59.1
39.615;2475.0;24.6;59.2
40.032;2493.0;24.6;59.2
40.449;2504.0;24.7;59.2
40.866;2533.0;24.6;59.3
41.283;2541.0;24.6;59.3
41.7;2541.0;24.6;59.4
42.117;2517.0;24.6;59.5
42.534;2533.0;24.6;59.5
42.951;2574.0;24.6;59.6
43.368;2568.0;24.6;59.7
43.785;2578.0;24.6;59.6
44.202;2596.0;24.6;59.7
44.619;2613.0;24.6;59.8
45.036;2618.0;24.6;59.7
45.453;2624.0;24.6;59.8